"dataset","feature_method","clustering_method","k_policy","n_requested","n_features_realised","value","baron_repaired"
"Baron","Seurat","Refined Louvain","estimated",2500,2500,0.19605784720833,FALSE
"Baron","Variance","Refined Louvain","estimated",2500,2500,0.168596781491451,FALSE
"Baron","DIFS","SC3","estimated",2500,2500,0.139026322085965,TRUE
"Baron","FEAST","SC3","estimated",2500,2500,0.126459242210163,TRUE
"Baron","GateOnly","SC3","estimated",2500,1940,0.128854019816476,TRUE
"Baron","Seurat","SC3","estimated",2500,2500,0.115971888626914,TRUE
"Baron","Variance","SC3","estimated",2500,2500,0.137138070696148,TRUE
"Baron","DIFS","Refined Louvain","true",0,1940,0.396420882537679,TRUE
"Baron","FEAST","Refined Louvain","true",0,1940,0.404055613322157,FALSE
"Baron","GateOnly","Refined Louvain","true",0,1940,0.389068882848165,FALSE
"Baron","Seurat","Refined Louvain","true",0,1940,0.480772509598344,FALSE
"Baron","Variance","Refined Louvain","true",0,1940,0.389929673015227,FALSE
"Baron","DIFS","SC3","true",0,1940,0.497727648411286,TRUE
"Baron","FEAST","SC3","true",0,1940,0.425206034814927,TRUE
"Baron","GateOnly","SC3","true",0,1940,0.463084536902063,TRUE
"Baron","Seurat","SC3","true",0,1940,0.473992716663722,TRUE
"Baron","Variance","SC3","true",0,1940,0.462974986109288,TRUE
"Baron","DIFS","Refined Louvain","true",100,100,0.50571061246364,TRUE
"Baron","FEAST","Refined Louvain","true",100,100,0.423146372079254,FALSE
"Baron","GateOnly","Refined Louvain","true",100,100,0.267430959320715,FALSE
"Baron","Seurat","Refined Louvain","true",100,100,0.244816641054019,FALSE
"Baron","Variance","Refined Louvain","true",100,100,0.424480892119924,FALSE
"Baron","DIFS","SC3","true",100,100,0.706894784286691,TRUE
"Baron","FEAST","SC3","true",100,100,0.697695417010082,TRUE
"Baron","GateOnly","SC3","true",100,100,0.496159416560153,TRUE
"Baron","Seurat","SC3","true",100,100,0.859865546196555,TRUE
"Baron","Variance","SC3","true",100,100,0.444196234822889,TRUE
"Baron","DIFS","Refined Louvain","true",200,200,0.425309828124515,TRUE
"Baron","FEAST","Refined Louvain","true",200,200,0.470623988160195,FALSE
"Baron","GateOnly","Refined Louvain","true",200,200,0.320704498193024,FALSE
"Baron","Seurat","Refined Louvain","true",200,200,0.427849740745503,FALSE
"Baron","Variance","Refined Louvain","true",200,200,0.419281499259165,FALSE
"Baron","DIFS","SC3","true",200,200,0.436761729235733,TRUE
"Baron","FEAST","SC3","true",200,200,0.426710623144408,TRUE
"Baron","GateOnly","SC3","true",200,200,0.576813965606694,TRUE
"Baron","Seurat","SC3","true",200,200,0.419430330684017,TRUE
"Baron","Variance","SC3","true",200,200,0.425682533016908,TRUE
"Baron","DIFS","Refined Louvain","true",300,300,0.42598406441501,TRUE
"Baron","FEAST","Refined Louvain","true",300,300,0.477522007975924,FALSE
"Baron","GateOnly","Refined Louvain","true",300,300,0.372514656479913,FALSE
"Baron","Seurat","Refined Louvain","true",300,300,0.455817885227734,FALSE
"Baron","Variance","Refined Louvain","true",300,300,0.404354814567042,FALSE
"Baron","DIFS","SC3","true",300,300,0.457303766185463,TRUE
"Baron","FEAST","SC3","true",300,300,0.522526096768472,TRUE
"Baron","GateOnly","SC3","true",300,300,0.397397126183319,TRUE
"Baron","Seurat","SC3","true",300,300,0.63589430098772,TRUE
"Baron","Variance","SC3","true",300,300,0.438945184834995,TRUE
"Baron","DIFS","Refined Louvain","true",500,500,0.454139805112623,TRUE
"Baron","FEAST","Refined Louvain","true",500,500,0.469544328041566,FALSE
"Baron","GateOnly","Refined Louvain","true",500,500,0.379056114042753,FALSE
"Baron","Seurat","Refined Louvain","true",500,500,0.476489036466875,FALSE
"Baron","Variance","Refined Louvain","true",500,500,0.396481924444089,FALSE
"Baron","DIFS","SC3","true",500,500,0.539564601298228,TRUE
"Baron","FEAST","SC3","true",500,500,0.457532462464384,TRUE
"Baron","GateOnly","SC3","true",500,500,0.394126088837625,TRUE
"Baron","Seurat","SC3","true",500,500,0.609272786400919,TRUE
"Baron","Variance","SC3","true",500,500,0.43672817037454,TRUE
"Baron","DIFS","Refined Louvain","true",750,750,0.430810641153827,TRUE
"Baron","FEAST","Refined Louvain","true",750,750,0.461709919963766,FALSE
"Baron","GateOnly","Refined Louvain","true",750,750,0.384990885982049,FALSE
"Baron","Seurat","Refined Louvain","true",750,750,0.525852230035138,FALSE
"Baron","Variance","Refined Louvain","true",750,750,0.395606687747555,FALSE
"Baron","DIFS","SC3","true",750,750,0.458200968906939,TRUE
"Baron","FEAST","SC3","true",750,750,0.457888623326643,TRUE
"Baron","GateOnly","SC3","true",750,750,0.453997734176637,TRUE
"Baron","Seurat","SC3","true",750,750,0.633547510228116,TRUE
"Baron","Variance","SC3","true",750,750,0.463193123920833,TRUE
"Baron","DIFS","Refined Louvain","true",1000,1000,0.403089728791506,TRUE
"Baron","FEAST","Refined Louvain","true",1000,1000,0.458376475891964,FALSE
"Baron","GateOnly","Refined Louvain","true",1000,1000,0.38709789372353,FALSE
"Baron","Seurat","Refined Louvain","true",1000,1000,0.474300396234093,FALSE
"Baron","Variance","Refined Louvain","true",1000,1000,0.386487870132478,FALSE
"Baron","DIFS","SC3","true",1000,1000,0.463052685425519,TRUE
"Baron","FEAST","SC3","true",1000,1000,0.457754445153715,TRUE
"Baron","GateOnly","SC3","true",1000,1000,0.45502610659015,TRUE
"Baron","Seurat","SC3","true",1000,1000,0.521202668809211,TRUE
"Baron","Variance","SC3","true",1000,1000,0.444947285085041,TRUE
"Baron","DIFS","Refined Louvain","true",1500,1500,0.397477998021907,TRUE
"Baron","FEAST","Refined Louvain","true",1500,1500,0.401169587542428,FALSE
"Baron","GateOnly","Refined Louvain","true",1500,1500,0.385727826298099,FALSE
"Baron","Seurat","Refined Louvain","true",1500,1500,0.474245046025215,FALSE
"Baron","Variance","Refined Louvain","true",1500,1500,0.38990468502576,FALSE
"Baron","DIFS","SC3","true",1500,1500,0.461891384414152,TRUE
"Baron","FEAST","SC3","true",1500,1500,0.426793097074943,TRUE
"Baron","GateOnly","SC3","true",1500,1500,0.457669296121313,TRUE
"Baron","Seurat","SC3","true",1500,1500,0.458343174695006,TRUE
"Baron","Variance","SC3","true",1500,1500,0.440381255052739,TRUE
"Baron","DIFS","Refined Louvain","true",2500,2500,0.390676376401772,TRUE
"Baron","FEAST","Refined Louvain","true",2500,2500,0.406835124177643,FALSE
"Baron","GateOnly","Refined Louvain","true",2500,1940,0.389068882848165,FALSE
"Baron","Seurat","Refined Louvain","true",2500,2500,0.474678544778349,FALSE
"Baron","Variance","Refined Louvain","true",2500,2500,0.386780355221335,FALSE
"Baron","DIFS","SC3","true",2500,2500,0.450587729300712,TRUE
"Baron","FEAST","SC3","true",2500,2500,0.43150567226403,TRUE
"Baron","GateOnly","SC3","true",2500,1940,0.463084536902063,TRUE
"Baron","Seurat","SC3","true",2500,2500,0.443430491574076,TRUE
"Baron","Variance","SC3","true",2500,2500,0.485286796399767,TRUE
"Darmanis","DIFS","Refined Louvain","estimated",0,2346,0.378755704152171,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",0,2346,0.368193156680943,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",0,2346,0.397679130594953,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",0,2346,0.327189585180346,FALSE
"Darmanis","Variance","Refined Louvain","estimated",0,2346,0.374634689428028,FALSE
"Darmanis","DIFS","SC3","estimated",0,2346,0.467069828970991,FALSE
"Darmanis","FEAST","SC3","estimated",0,2346,0.587486744432662,FALSE
"Darmanis","GateOnly","SC3","estimated",0,2346,0.426468533097312,FALSE
"Darmanis","Seurat","SC3","estimated",0,2346,0.438600441302292,FALSE
"Darmanis","Variance","SC3","estimated",0,2346,0.412054922038632,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",100,100,0.387912558936991,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",100,100,0.217251176794877,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",100,100,0.342106463531451,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",100,100,0.34993482267272,FALSE
"Darmanis","Variance","Refined Louvain","estimated",100,100,0.384447398404861,FALSE
"Darmanis","DIFS","SC3","estimated",100,100,0.525195648024432,FALSE
"Darmanis","FEAST","SC3","estimated",100,100,0.298802085406137,FALSE
"Darmanis","GateOnly","SC3","estimated",100,100,0.328891718586566,FALSE
