"result_set","dataset","feature_method","clustering_method","k_policy","gate_rule","gate_rule_recorded","seed","n_requested","n_features_realised","gate_n","k_true","k_estimated","k_used_clustering","n_clusters_found","n_cells_total","n_cells_scored","n_cells_dropped","n_cells_unlabelled","difs_stage1_n","difs_stage2_n","difs_ratio_nominal","ARI","FM","Jaccard","Purity","elapsed_sec","source_file","baron_repaired","ARI_before_repair","source_result_set","is_analysis_row"
"ncurve","Baron","DIFS","Refined Louvain","true","submitted",TRUE,1,2500,2500,1940,14,66,14,14,8569,8569,0,0,1700,2460,"1:1",0.499500900531678,0.604115034202448,0.390676376401772,0.920760882249971,4463.039,"Baron_DIFS_Refined Louvain_n2500_k-true_g-submitted_seed-1.rds",TRUE,0.499409931260588,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","estimated","submitted",TRUE,1,0,1940,1940,14,66,66,66,8569,8569,0,0,1800,6059,"1:3",0.215628074638968,0.378468434270344,0.147135745411584,0.965690278912358,7559.569,"Baron_DIFS_SC3_n0000_k-estimated_g-submitted_seed-1.rds",TRUE,0.22208885778789,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","true","submitted",TRUE,1,0,1940,1940,14,66,14,14,8569,8569,0,0,1700,2460,"1:1",0.603698793302619,0.681202971117681,0.497727648411286,0.877698681293033,4218.008,"Baron_DIFS_SC3_n0000_k-true_g-submitted_seed-1.rds",TRUE,0.524671991021464,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","estimated","submitted",TRUE,1,100,100,1940,14,66,66,66,8569,8569,0,0,1800,6059,"2:3",0.191450600341917,0.353619998350939,0.129668757664144,0.95472050414284,7339.734,"Baron_DIFS_SC3_n0100_k-estimated_g-submitted_seed-1.rds",TRUE,0.170421857109679,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","true","submitted",TRUE,1,100,100,1940,14,66,14,14,8569,8569,0,0,1700,2460,"2:1",0.791598546747094,0.832996059700559,0.706894784286691,0.909791107480453,4803.113,"Baron_DIFS_SC3_n0100_k-true_g-submitted_seed-1.rds",TRUE,0.75618244892515,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","estimated","submitted",TRUE,1,200,200,1940,14,66,66,66,8569,8569,0,0,1800,6059,"2:3",0.180878037991946,0.335466466124741,0.124044216359966,0.937448943867429,7134.614,"Baron_DIFS_SC3_n0200_k-estimated_g-submitted_seed-1.rds",TRUE,0.149567561839257,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","true","submitted",TRUE,1,200,200,1940,14,66,14,14,8569,8569,0,0,1700,2460,"2:3",0.549925509713591,0.647761996253859,0.436761729235733,0.922161279029058,4067.135,"Baron_DIFS_SC3_n0200_k-true_g-submitted_seed-1.rds",TRUE,0.573708114517584,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","estimated","submitted",TRUE,1,300,300,1940,14,66,66,66,8569,8569,0,0,1800,6059,"2:3",0.162192760756644,0.30826860038659,0.112989116945622,0.924962072587233,7259.883,"Baron_DIFS_SC3_n0300_k-estimated_g-submitted_seed-1.rds",TRUE,0.161776298762018,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","true","submitted",TRUE,1,300,300,1940,14,66,14,14,8569,8569,0,0,1700,2460,"1:1",0.570516510251123,0.663652650327546,0.457303766185463,0.924028474734508,4078.432,"Baron_DIFS_SC3_n0300_k-true_g-submitted_seed-1.rds",TRUE,0.629657429904229,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","estimated","submitted",TRUE,1,500,500,1940,14,66,66,66,8569,8569,0,0,1800,6059,"1:2",0.191715896271827,0.353519683716388,0.12995716151229,0.963122884817365,7196.223,"Baron_DIFS_SC3_n0500_k-estimated_g-submitted_seed-1.rds",TRUE,0.18748398515568,"baronfix",TRUE
