"dataset","feature_method","clustering_method","k_policy","n_requested","n_features_realised","value","baron_repaired"
"Baron","Seurat","Refined Louvain","estimated",2500,2500,0.976309954487105,FALSE
"Baron","Variance","Refined Louvain","estimated",2500,2500,0.928463064534952,FALSE
"Baron","DIFS","SC3","estimated",2500,2500,0.963006185085774,TRUE
"Baron","FEAST","SC3","estimated",2500,2500,0.964406581864862,TRUE
"Baron","GateOnly","SC3","estimated",2500,1940,0.964289882133271,TRUE
"Baron","Seurat","SC3","estimated",2500,2500,0.974559458513245,TRUE
"Baron","Variance","SC3","estimated",2500,2500,0.963706383475318,TRUE
"Baron","DIFS","Refined Louvain","true",0,1940,0.927879565876998,TRUE
"Baron","FEAST","Refined Louvain","true",0,1940,0.932080756214261,FALSE
"Baron","GateOnly","Refined Louvain","true",0,1940,0.912125102112265,FALSE
"Baron","Seurat","Refined Louvain","true",0,1940,0.954370404948069,FALSE
"Baron","Variance","Refined Louvain","true",0,1940,0.912591901038628,FALSE
"Baron","DIFS","SC3","true",0,1940,0.877698681293033,TRUE
"Baron","FEAST","SC3","true",0,1940,0.896837437273894,TRUE
"Baron","GateOnly","SC3","true",0,1940,0.924962072587233,TRUE
"Baron","Seurat","SC3","true",0,1940,0.906056716069553,TRUE
"Baron","Variance","SC3","true",0,1940,0.925078772318824,TRUE
"Baron","DIFS","Refined Louvain","true",100,100,0.940016337962423,TRUE
"Baron","FEAST","Refined Louvain","true",100,100,0.893336445326176,FALSE
"Baron","GateOnly","Refined Louvain","true",100,100,0.785739292799627,FALSE
"Baron","Seurat","Refined Louvain","true",100,100,0.628544754347065,FALSE
"Baron","Variance","Refined Louvain","true",100,100,0.93569844789357,FALSE
"Baron","DIFS","SC3","true",100,100,0.909791107480453,TRUE
"Baron","FEAST","SC3","true",100,100,0.905356517680009,TRUE
"Baron","GateOnly","SC3","true",100,100,0.846189753763566,TRUE
"Baron","Seurat","SC3","true",100,100,0.895553740226397,TRUE
"Baron","Variance","SC3","true",100,100,0.903139222779788,TRUE
"Baron","DIFS","Refined Louvain","true",200,200,0.931030458629945,TRUE
"Baron","FEAST","Refined Louvain","true",200,200,0.951102812463531,FALSE
"Baron","GateOnly","Refined Louvain","true",200,200,0.827050997782705,FALSE
"Baron","Seurat","Refined Louvain","true",200,200,0.825183802077255,FALSE
"Baron","Variance","Refined Louvain","true",200,200,0.944450927762866,FALSE
"Baron","DIFS","SC3","true",200,200,0.922161279029058,TRUE
"Baron","FEAST","SC3","true",200,200,0.921227681176333,TRUE
"Baron","GateOnly","SC3","true",200,200,0.864394911891703,TRUE
"Baron","Seurat","SC3","true",200,200,0.840588166647217,TRUE
"Baron","Variance","SC3","true",200,200,0.919710584665655,TRUE
"Baron","DIFS","Refined Louvain","true",300,300,0.917960088691796,TRUE
"Baron","FEAST","Refined Louvain","true",300,300,0.94888551756331,FALSE
"Baron","GateOnly","Refined Louvain","true",300,300,0.899171431905707,FALSE
"Baron","Seurat","Refined Louvain","true",300,300,0.889251954720504,FALSE
"Baron","Variance","Refined Louvain","true",300,300,0.947835219978994,FALSE
"Baron","DIFS","SC3","true",300,300,0.924028474734508,TRUE
"Baron","FEAST","SC3","true",300,300,0.921227681176333,TRUE
"Baron","GateOnly","SC3","true",300,300,0.86952970008169,TRUE
"Baron","Seurat","SC3","true",300,300,0.888668456062551,TRUE
"Baron","Variance","SC3","true",300,300,0.920410783055199,TRUE
"Baron","DIFS","Refined Louvain","true",500,500,0.949935815147625,TRUE
"Baron","FEAST","Refined Louvain","true",500,500,0.942000233399463,FALSE
"Baron","GateOnly","Refined Louvain","true",500,500,0.902205624927063,FALSE
"Baron","Seurat","Refined Louvain","true",500,500,0.904189520364103,FALSE
"Baron","Variance","Refined Louvain","true",500,500,0.919827284397246,FALSE
"Baron","DIFS","SC3","true",500,500,0.920294083323608,TRUE
"Baron","FEAST","SC3","true",500,500,0.924728673124052,TRUE
"Baron","GateOnly","SC3","true",500,500,0.905940016337962,TRUE
"Baron","Seurat","SC3","true",500,500,0.905239817948419,TRUE
"Baron","Variance","SC3","true",500,500,0.923094876881783,TRUE
"Baron","DIFS","Refined Louvain","true",750,750,0.970241568444393,TRUE
"Baron","FEAST","Refined Louvain","true",750,750,0.932780954603804,FALSE
"Baron","GateOnly","Refined Louvain","true",750,750,0.907107013653869,FALSE
"Baron","Seurat","Refined Louvain","true",750,750,0.921577780371105,FALSE
"Baron","Variance","Refined Louvain","true",750,750,0.91866028708134,FALSE
"Baron","DIFS","SC3","true",750,750,0.924145174466099,TRUE
"Baron","FEAST","SC3","true",750,750,0.92437857392928,TRUE
"Baron","GateOnly","SC3","true",750,750,0.905239817948419,TRUE
"Baron","Seurat","SC3","true",750,750,0.929513362119267,TRUE
"Baron","Variance","SC3","true",750,750,0.930446959971992,TRUE
"Baron","DIFS","Refined Louvain","true",1000,1000,0.932314155677442,TRUE
"Baron","FEAST","Refined Louvain","true",1000,1000,0.91107480452795,FALSE
"Baron","GateOnly","Refined Louvain","true",1000,1000,0.909441008285681,FALSE
"Baron","Seurat","Refined Louvain","true",1000,1000,0.950285914342397,FALSE
"Baron","Variance","Refined Louvain","true",1000,1000,0.918076788423387,FALSE
"Baron","DIFS","SC3","true",1000,1000,0.925312171782005,TRUE
"Baron","FEAST","SC3","true",1000,1000,0.925195472050414,TRUE
"Baron","GateOnly","SC3","true",1000,1000,0.905356517680009,TRUE
"Baron","Seurat","SC3","true",1000,1000,0.950169214610806,TRUE
"Baron","Variance","SC3","true",1000,1000,0.923561675808146,TRUE
"Baron","DIFS","Refined Louvain","true",1500,1500,0.927996265608589,TRUE
"Baron","FEAST","Refined Louvain","true",1500,1500,0.931263858093126,FALSE
"Baron","GateOnly","Refined Louvain","true",1500,1500,0.910024506943634,FALSE
"Baron","Seurat","Refined Louvain","true",1500,1500,0.950752713268759,FALSE
"Baron","Variance","Refined Louvain","true",1500,1500,0.912825300501809,FALSE
"Baron","DIFS","SC3","true",1500,1500,0.924845372855642,TRUE
"Baron","FEAST","SC3","true",1500,1500,0.897537635663438,TRUE
"Baron","GateOnly","SC3","true",1500,1500,0.906523514995916,TRUE
"Baron","Seurat","SC3","true",1500,1500,0.92437857392928,TRUE
"Baron","Variance","SC3","true",1500,1500,0.92437857392928,TRUE
"Baron","DIFS","Refined Louvain","true",2500,2500,0.920760882249971,TRUE
"Baron","FEAST","Refined Louvain","true",2500,2500,0.934064651651301,FALSE
"Baron","GateOnly","Refined Louvain","true",2500,1940,0.912125102112265,FALSE
"Baron","Seurat","Refined Louvain","true",2500,2500,0.960555490722371,FALSE
"Baron","Variance","Refined Louvain","true",2500,2500,0.913292099428171,FALSE
"Baron","DIFS","SC3","true",2500,2500,0.925195472050414,TRUE
