"dataset","feature_method","clustering_method","k_policy","n_requested","n_features_realised","value","baron_repaired"
"Baron","Seurat","Refined Louvain","estimated",2500,2500,0.280274325201735,FALSE
"Baron","Variance","Refined Louvain","estimated",2500,2500,0.242429351429108,FALSE
"Baron","DIFS","SC3","estimated",2500,2500,0.204250578226668,TRUE
"Baron","FEAST","SC3","estimated",2500,2500,0.187087552697274,TRUE
"Baron","GateOnly","SC3","estimated",2500,1940,0.190438643697337,TRUE
"Baron","Seurat","SC3","estimated",2500,2500,0.172984026744065,TRUE
"Baron","Variance","SC3","estimated",2500,2500,0.202013333670433,TRUE
"Baron","DIFS","Refined Louvain","true",0,1940,0.506680551302267,TRUE
"Baron","FEAST","Refined Louvain","true",0,1940,0.514979605410807,FALSE
"Baron","GateOnly","Refined Louvain","true",0,1940,0.498550282917641,FALSE
"Baron","Seurat","Refined Louvain","true",0,1940,0.59506418977656,FALSE
"Baron","Variance","Refined Louvain","true",0,1940,0.499550173331532,FALSE
"Baron","DIFS","SC3","true",0,1940,0.603698793302619,TRUE
"Baron","FEAST","SC3","true",0,1940,0.533510083630602,TRUE
"Baron","GateOnly","SC3","true",0,1940,0.575433040211709,TRUE
"Baron","Seurat","SC3","true",0,1940,0.58319536521399,TRUE
"Baron","Variance","SC3","true",0,1940,0.575258297316658,TRUE
"Baron","DIFS","Refined Louvain","true",100,100,0.618259986815556,TRUE
"Baron","FEAST","Refined Louvain","true",100,100,0.532274691097211,FALSE
"Baron","GateOnly","Refined Louvain","true",100,100,0.345754689463575,FALSE
"Baron","Seurat","Refined Louvain","true",100,100,0.27271284828482,FALSE
"Baron","Variance","Refined Louvain","true",100,100,0.53769073995138,FALSE
"Baron","DIFS","SC3","true",100,100,0.791598546747094,TRUE
"Baron","FEAST","SC3","true",100,100,0.783817694068507,TRUE
"Baron","GateOnly","SC3","true",100,100,0.595674300663674,TRUE
"Baron","Seurat","SC3","true",100,100,0.906509188397328,TRUE
"Baron","Variance","SC3","true",100,100,0.553111626411321,TRUE
"Baron","DIFS","Refined Louvain","true",200,200,0.53908752765545,TRUE
"Baron","FEAST","Refined Louvain","true",200,200,0.585599929805954,FALSE
"Baron","GateOnly","Refined Louvain","true",200,200,0.405606006482994,FALSE
"Baron","Seurat","Refined Louvain","true",200,200,0.526476028997345,FALSE
"Baron","Variance","Refined Louvain","true",200,200,0.533406307089764,FALSE
"Baron","DIFS","SC3","true",200,200,0.549925509713591,TRUE
"Baron","FEAST","SC3","true",200,200,0.538716381366441,TRUE
"Baron","GateOnly","SC3","true",200,200,0.677830864714159,TRUE
"Baron","Seurat","SC3","true",200,200,0.523138447301671,TRUE
"Baron","Variance","SC3","true",200,200,0.537261033889213,TRUE
"Baron","DIFS","Refined Louvain","true",300,300,0.537822433528317,TRUE
"Baron","FEAST","Refined Louvain","true",300,300,0.592147985640595,FALSE
"Baron","GateOnly","Refined Louvain","true",300,300,0.478809864416221,FALSE
"Baron","Seurat","Refined Louvain","true",300,300,0.561415318664332,FALSE
"Baron","Variance","Refined Louvain","true",300,300,0.51804964198668,FALSE
"Baron","DIFS","SC3","true",300,300,0.570516510251123,TRUE
"Baron","FEAST","SC3","true",300,300,0.633047876135809,TRUE
"Baron","GateOnly","SC3","true",300,300,0.500890543435878,TRUE
"Baron","Seurat","SC3","true",300,300,0.733072794216296,TRUE
"Baron","Variance","SC3","true",300,300,0.550969839171977,TRUE
"Baron","DIFS","Refined Louvain","true",500,500,0.568695386535028,TRUE
"Baron","FEAST","Refined Louvain","true",500,500,0.584051878903005,FALSE
"Baron","GateOnly","Refined Louvain","true",500,500,0.485887025786449,FALSE
"Baron","Seurat","Refined Louvain","true",500,500,0.581845982054346,FALSE
"Baron","Variance","Refined Louvain","true",500,500,0.506112285340281,FALSE
"Baron","DIFS","SC3","true",500,500,0.648615103150262,TRUE
"Baron","FEAST","SC3","true",500,500,0.569955008113833,TRUE
"Baron","GateOnly","SC3","true",500,500,0.503591274430623,TRUE
"Baron","Seurat","SC3","true",500,500,0.710741816395895,TRUE
"Baron","Variance","SC3","true",500,500,0.548692094618078,TRUE
"Baron","DIFS","Refined Louvain","true",750,750,0.546400642914638,TRUE
"Baron","FEAST","Refined Louvain","true",750,750,0.573981257666233,FALSE
"Baron","GateOnly","Refined Louvain","true",750,750,0.493517495765554,FALSE
"Baron","Seurat","Refined Louvain","true",750,750,0.634416625207295,FALSE
"Baron","Variance","Refined Louvain","true",750,750,0.505148023252678,FALSE
"Baron","DIFS","SC3","true",750,750,0.570364753553912,TRUE
