"data.name","fmethod","clust","n","k_policy","gate_rule","gate_rule_src","seed","ARI","FM","Jaccard","Purity","nfeat","kfound","k_used","stage1_n","stage2_n","ratio","total","dropped","elapsed","set"
"Baron","DIFS","SC3",1500,"estimated","submitted","object",1,0.191253833930551,0.354777262608795,0.129180610012812,0.967674174349399,1500,66,66,1800,6059,"1:2",8569,0,7126.368,"baronfix"
"Baron","DIFS","SC3",1500,"true","submitted","object",1,0.574202626659121,0.665077429056167,0.461891384414152,0.924845372855642,1500,14,14,1700,2460,"1:1",8569,0,4038.306,"baronfix"
"Baron","DIFS","SC3",2500,"estimated","submitted","object",1,0.204250578226668,0.366343044169679,0.139026322085965,0.963006185085774,2500,66,66,1800,6059,"1:1",8569,0,10249.872,"baronfix"
"Baron","DIFS","SC3",2500,"true","submitted","object",1,0.563000810893395,0.656483954453149,0.450587729300712,0.925195472050414,2500,14,14,1700,2460,"1:1",8569,0,5089.254,"baronfix"
"Baron","FEAST","Refined Louvain",0,"estimated","submitted","object",1,0.266286357316538,0.425336902180133,0.185475391503496,0.961138989380324,1940,40,66,NA,NA,NA,8569,0,178.439,"ncurve"
"Baron","FEAST","Refined Louvain",0,"true","submitted","object",1,0.514979605410807,0.618428410801799,0.404055613322157,0.932080756214261,1940,14,14,NA,NA,NA,8569,0,134.737,"ncurve"
"Baron","FEAST","Refined Louvain",100,"estimated","submitted","object",1,0.0111547021808908,0.436584927512022,0.199216342528616,0.300385109114249,100,2,66,NA,NA,NA,8569,0,24804.739,"ncurve"
"Baron","FEAST","Refined Louvain",100,"true","submitted","object",1,0.532274691097211,0.62827935948237,0.423146372079254,0.893336445326176,100,14,14,NA,NA,NA,8569,0,127.573,"ncurve"
"Baron","FEAST","Refined Louvain",200,"estimated","submitted","object",1,0.253946846671242,0.406752489072302,0.178379597978065,0.92251137822383,200,32,66,NA,NA,NA,8569,0,164.152,"ncurve"
"Baron","FEAST","Refined Louvain",200,"true","submitted","object",1,0.585599929805954,0.678783304443357,0.470623988160195,0.951102812463531,200,14,14,NA,NA,NA,8569,0,147.51,"ncurve"
"Baron","FEAST","Refined Louvain",300,"estimated","submitted","object",1,0.27300118977267,0.428926474837209,0.191428693531804,0.949819115416035,300,31,66,NA,NA,NA,8569,0,176.914,"ncurve"
"Baron","FEAST","Refined Louvain",300,"true","submitted","object",1,0.592147985640595,0.683438570111831,0.477522007975924,0.94888551756331,300,14,14,NA,NA,NA,8569,0,175.032,"ncurve"
"Baron","FEAST","Refined Louvain",500,"estimated","submitted","object",1,0.299034088279991,0.453827760605162,0.211200553421721,0.968257673007352,500,32,66,NA,NA,NA,8569,0,170.332,"ncurve"
"Baron","FEAST","Refined Louvain",500,"true","submitted","object",1,0.584051878903005,0.676662060677949,0.469544328041566,0.942000233399463,500,14,14,NA,NA,NA,8569,0,133.981,"ncurve"
"Baron","FEAST","Refined Louvain",750,"estimated","submitted","object",1,0.271297220355416,0.429154226978295,0.18955419818765,0.962422686427821,750,35,66,NA,NA,NA,8569,0,196.369,"ncurve"
"Baron","FEAST","Refined Louvain",750,"true","submitted","object",1,0.573981257666233,0.664839775245932,0.461709919963766,0.932780954603804,750,13,14,NA,NA,NA,8569,0,149.302,"ncurve"
"Baron","FEAST","Refined Louvain",1000,"estimated","submitted","object",1,0.279575566802568,0.437000314392033,0.195837303395991,0.96604037810713,1000,35,66,NA,NA,NA,8569,0,142.461,"ncurve"
"Baron","FEAST","Refined Louvain",1000,"true","submitted","object",1,0.568272838982044,0.656911046413129,0.458376475891964,0.91107480452795,1000,13,14,NA,NA,NA,8569,0,150.628,"ncurve"
"Baron","FEAST","Refined Louvain",1500,"estimated","submitted","object",1,0.27342179936858,0.431072919552092,0.191194420825475,0.965223479985996,1500,35,66,NA,NA,NA,8569,0,159.392,"ncurve"
"Baron","FEAST","Refined Louvain",1500,"true","submitted","object",1,0.511860928101925,0.615831856394873,0.401169587542428,0.931263858093126,1500,14,14,NA,NA,NA,8569,0,149.189,"ncurve"
"Baron","FEAST","Refined Louvain",2500,"estimated","submitted","object",1,0.27233680520552,0.430344136188444,0.19027893056006,0.956354300385109,2500,38,66,NA,NA,NA,8569,0,182.659,"ncurve"
"Baron","FEAST","Refined Louvain",2500,"true","submitted","object",1,0.518426354405341,0.622013727751196,0.406835124177643,0.934064651651301,2500,14,14,NA,NA,NA,8569,0,159.038,"ncurve"
"Baron","FEAST","SC3",0,"estimated","submitted","object",1,0.189266049382303,0.35183627856934,0.127973961003437,0.969424670323258,1940,66,66,NA,NA,NA,8569,0,3084.892,"baronfix"
"Baron","FEAST","SC3",0,"true","submitted","object",1,0.533510083630602,0.62810257317741,0.425206034814927,0.896837437273894,1940,14,14,NA,NA,NA,8569,0,1541.187,"baronfix"
"Baron","FEAST","SC3",100,"estimated","submitted","object",1,0.180397497619408,0.336122365980694,0.123354241410278,0.930680359435173,100,66,66,NA,NA,NA,8569,0,3019.018,"baronfix"
"Baron","FEAST","SC3",100,"true","submitted","object",1,0.783817694068507,0.826482210158929,0.697695417010082,0.905356517680009,100,14,14,NA,NA,NA,8569,0,1715.515,"baronfix"
"Baron","FEAST","SC3",200,"estimated","submitted","object",1,0.156359740338675,0.305967662210279,0.107450601522159,0.906640214727506,200,66,66,NA,NA,NA,8569,0,2656.949,"baronfix"
"Baron","FEAST","SC3",200,"true","submitted","object",1,0.538716381366441,0.637433114395334,0.426710623144408,0.921227681176333,200,14,14,NA,NA,NA,8569,0,1351.549,"baronfix"
"Baron","FEAST","SC3",300,"estimated","submitted","object",1,0.174382816544917,0.333409836068437,0.118033080996471,0.954837203874431,300,66,66,NA,NA,NA,8569,0,2279.368,"baronfix"
"Baron","FEAST","SC3",300,"true","submitted","object",1,0.633047876135809,0.711208328373563,0.522526096768472,0.921227681176333,300,14,14,NA,NA,NA,8569,0,1370.11,"baronfix"
"Baron","FEAST","SC3",500,"estimated","submitted","object",1,0.149874849754905,0.304189130166976,0.101298630577815,0.957054498774653,500,66,66,NA,NA,NA,8569,0,2660.496,"baronfix"
"Baron","FEAST","SC3",500,"true","submitted","object",1,0.569955008113833,0.661913737768337,0.457532462464384,0.924728673124052,500,14,14,NA,NA,NA,8569,0,1384.011,"baronfix"
"Baron","FEAST","SC3",750,"estimated","submitted","object",1,0.180398330784322,0.340443165674104,0.122160031901232,0.955887501458747,750,66,66,NA,NA,NA,8569,0,5792.386,"baronfix"
"Baron","FEAST","SC3",750,"true","submitted","object",1,0.570105091505759,0.66170443494313,0.457888623326643,0.92437857392928,750,14,14,NA,NA,NA,8569,0,1330.709,"baronfix"
"Baron","FEAST","SC3",1000,"estimated","submitted","object",1,0.188553467295583,0.350139361693234,0.127707790281469,0.962305986696231,1000,66,66,NA,NA,NA,8569,0,2726.876,"baronfix"
"Baron","FEAST","SC3",1000,"true","submitted","object",1,0.56993986624065,0.661526083206991,0.457754445153715,0.925195472050414,1000,14,14,NA,NA,NA,8569,0,1681.896,"baronfix"
"Baron","FEAST","SC3",1500,"estimated","submitted","object",1,0.181387082879269,0.343675907288919,0.122306620814242,0.968374372738943,1500,66,66,NA,NA,NA,8569,0,2758.458,"baronfix"
"Baron","FEAST","SC3",1500,"true","submitted","object",1,0.535448780855018,0.630020701214132,0.426793097074943,0.897537635663438,1500,14,14,NA,NA,NA,8569,0,1658.996,"baronfix"
"Baron","FEAST","SC3",2500,"estimated","submitted","object",1,0.187087552697274,0.34937360788605,0.126459242210163,0.964406581864862,2500,66,66,NA,NA,NA,8569,0,2576.476,"baronfix"
"Baron","FEAST","SC3",2500,"true","submitted","object",1,0.540422878763648,0.634122534542642,0.43150567226403,0.906873614190687,2500,14,14,NA,NA,NA,8569,0,1687.282,"baronfix"
"Baron","GateOnly","Refined Louvain",0,"estimated","submitted","object",1,0.241184100743162,0.397628486314278,0.167760767138331,0.926945968024274,1940,37,66,NA,NA,NA,8569,0,114.485,"ncurve"
"Baron","GateOnly","Refined Louvain",0,"true","submitted","object",1,0.498550282917641,0.60451813806729,0.389068882848165,0.912125102112265,1940,14,14,NA,NA,NA,8569,0,144.828,"ncurve"
"Baron","GateOnly","Refined Louvain",100,"estimated","submitted","object",1,0.219212335218694,0.353771826375994,0.161263820549946,0.802427354417085,100,25,66,NA,NA,NA,8569,0,158.448,"ncurve"
"Baron","GateOnly","Refined Louvain",100,"true","submitted","object",1,0.345754689463575,0.462278267092742,0.267430959320715,0.785739292799627,100,14,14,NA,NA,NA,8569,0,152.215,"ncurve"
"Baron","GateOnly","Refined Louvain",200,"estimated","submitted","object",1,0.261933399118232,0.400114437410404,0.190520751089814,0.861594118333528,200,25,66,NA,NA,NA,8569,0,109.438,"ncurve"
"Baron","GateOnly","Refined Louvain",200,"true","submitted","object",1,0.405606006482994,0.511917313096343,0.320704498193024,0.827050997782705,200,14,14,NA,NA,NA,8569,0,119.879,"ncurve"
"Baron","GateOnly","Refined Louvain",300,"estimated","submitted","object",1,0.271531428251163,0.419609504325503,0.193114823066739,0.898354533784572,300,28,66,NA,NA,NA,8569,0,139.703,"ncurve"
"Baron","GateOnly","Refined Louvain",300,"true","submitted","object",1,0.478809864416221,0.5859077748873,0.372514656479913,0.899171431905707,300,14,14,NA,NA,NA,8569,0,148.183,"ncurve"
"Baron","GateOnly","Refined Louvain",500,"estimated","submitted","object",1,0.263529587926026,0.414993224927382,0.185931745775343,0.915859493523165,500,33,66,NA,NA,NA,8569,0,145.365,"ncurve"
"Baron","GateOnly","Refined Louvain",500,"true","submitted","object",1,0.485887025786449,0.591583926823007,0.379056114042753,0.902205624927063,500,14,14,NA,NA,NA,8569,0,177.316,"ncurve"
"Baron","GateOnly","Refined Louvain",750,"estimated","submitted","object",1,0.29383510269333,0.443656474468904,0.209021634628789,0.916209592717937,750,30,66,NA,NA,NA,8569,0,107.022,"ncurve"
"Baron","GateOnly","Refined Louvain",750,"true","submitted","object",1,0.493517495765554,0.599484728772295,0.384990885982049,0.907107013653869,750,14,14,NA,NA,NA,8569,0,145.636,"ncurve"
"Baron","GateOnly","Refined Louvain",1000,"estimated","submitted","object",1,0.247554056943513,0.404301030288795,0.172355141763753,0.93756564359902,1000,36,66,NA,NA,NA,8569,0,102.529,"ncurve"
"Baron","GateOnly","Refined Louvain",1000,"true","submitted","object",1,0.496184221322952,0.602232424559065,0.38709789372353,0.909441008285681,1000,14,14,NA,NA,NA,8569,0,147.664,"ncurve"
"Baron","GateOnly","Refined Louvain",1500,"estimated","submitted","object",1,0.260231677674999,0.416059742091484,0.182005104556738,0.932547555140623,1500,36,66,NA,NA,NA,8569,0,98.826,"ncurve"
"Baron","GateOnly","Refined Louvain",1500,"true","submitted","object",1,0.494209717510643,0.59989193594612,0.385727826298099,0.910024506943634,1500,14,14,NA,NA,NA,8569,0,135.615,"ncurve"
"Baron","GateOnly","Refined Louvain",2500,"estimated","submitted","object",1,0.241184100743162,0.397628486314278,0.167760767138331,0.926945968024274,1940,37,66,NA,NA,NA,8569,0,102.681,"ncurve"
"Baron","GateOnly","Refined Louvain",2500,"true","submitted","object",1,0.498550282917641,0.60451813806729,0.389068882848165,0.912125102112265,1940,14,14,NA,NA,NA,8569,0,128.667,"ncurve"
"Baron","GateOnly","SC3",0,"estimated","submitted","object",1,0.190438643697337,0.352908084556068,0.128854019816476,0.964289882133271,1940,66,66,NA,NA,NA,8569,0,4451.176,"baronfix"
"Baron","GateOnly","SC3",0,"true","submitted","object",1,0.575433040211709,0.666108663098497,0.463084536902063,0.924962072587233,1940,14,14,NA,NA,NA,8569,0,1572.963,"baronfix"
"Baron","GateOnly","SC3",100,"estimated","submitted","object",1,0.180969598239271,0.324020763817476,0.128243499971337,0.853658536585366,100,66,66,NA,NA,NA,8569,0,3586.052,"baronfix"
"Baron","GateOnly","SC3",100,"true","submitted","object",1,0.595674300663674,0.670984128819033,0.496159416560153,0.846189753763566,100,14,14,NA,NA,NA,8569,0,2072.947,"baronfix"
"Baron","GateOnly","SC3",200,"estimated","submitted","object",1,0.15526467488907,0.308996164526314,0.105429141416659,0.92064418251838,200,66,66,NA,NA,NA,8569,0,3314.748,"baronfix"
"Baron","GateOnly","SC3",200,"true","submitted","object",1,0.677830864714159,0.740250587187503,0.576813965606694,0.864394911891703,200,14,14,NA,NA,NA,8569,0,1629.16,"baronfix"
"Baron","GateOnly","SC3",300,"estimated","submitted","object",1,0.149916586809072,0.297537324678984,0.103271942736764,0.908157311238184,300,66,66,NA,NA,NA,8569,0,6179.997,"baronfix"
"Baron","GateOnly","SC3",300,"true","submitted","object",1,0.500890543435878,0.598130254041926,0.397397126183319,0.86952970008169,300,14,14,NA,NA,NA,8569,0,1839.573,"baronfix"
"Baron","GateOnly","SC3",500,"estimated","submitted","object",1,0.180384976869733,0.336263766014041,0.123300219023566,0.932080756214261,500,66,66,NA,NA,NA,8569,0,3993.316,"baronfix"
"Baron","GateOnly","SC3",500,"true","submitted","object",1,0.503591274430623,0.607999958173565,0.394126088837625,0.905940016337962,500,14,14,NA,NA,NA,8569,0,1797.531,"baronfix"
"Baron","GateOnly","SC3",750,"estimated","submitted","object",1,0.186765615625013,0.347069928669735,0.126740295182064,0.947368421052632,750,66,66,NA,NA,NA,8569,0,3590.873,"baronfix"
"Baron","GateOnly","SC3",750,"true","submitted","object",1,0.563579974990026,0.652819546524058,0.453997734176637,0.905239817948419,750,14,14,NA,NA,NA,8569,0,1576.951,"baronfix"
"Baron","GateOnly","SC3",1000,"estimated","submitted","object",1,0.197496409171403,0.360291361805357,0.133913959781906,0.958688295016921,1000,66,66,NA,NA,NA,8569,0,3299.167,"baronfix"
"Baron","GateOnly","SC3",1000,"true","submitted","object",1,0.565411931538219,0.65532853336331,0.45502610659015,0.905356517680009,1000,14,14,NA,NA,NA,8569,0,1736.988,"baronfix"
"Baron","GateOnly","SC3",1500,"estimated","submitted","object",1,0.17623070763821,0.338551126247946,0.118545209331743,0.965806978643949,1500,66,66,NA,NA,NA,8569,0,2990.853,"baronfix"
"Baron","GateOnly","SC3",1500,"true","submitted","object",1,0.56732101352682,0.655842504833595,0.457669296121313,0.906523514995916,1500,14,14,NA,NA,NA,8569,0,1473.605,"baronfix"
"Baron","GateOnly","SC3",2500,"estimated","submitted","object",1,0.190438643697337,0.352908084556068,0.128854019816476,0.964289882133271,1940,66,66,NA,NA,NA,8569,0,3013.928,"baronfix"
"Baron","GateOnly","SC3",2500,"true","submitted","object",1,0.575433040211709,0.666108663098497,0.463084536902063,0.924962072587233,1940,14,14,NA,NA,NA,8569,0,1787.474,"baronfix"
"Baron","Seurat","Refined Louvain",0,"estimated","submitted","object",1,0.246015968959089,0.407519023704425,0.169789850435235,0.975843155560742,1940,37,66,NA,NA,NA,8569,0,138.171,"ncurve"
"Baron","Seurat","Refined Louvain",0,"true","submitted","object",1,0.59506418977656,0.685211487831388,0.480772509598344,0.954370404948069,1940,14,14,NA,NA,NA,8569,0,145.232,"ncurve"
"Baron","Seurat","Refined Louvain",100,"estimated","submitted","object",1,0.118751669207668,0.243487487053532,0.089366799632818,0.731473917609989,100,44,66,NA,NA,NA,8569,0,122.219,"ncurve"
"Baron","Seurat","Refined Louvain",100,"true","submitted","object",1,0.27271284828482,0.398331928965751,0.244816641054019,0.628544754347065,100,13,14,NA,NA,NA,8569,0,110.983,"ncurve"
"Baron","Seurat","Refined Louvain",200,"estimated","submitted","object",1,0.154790209826368,0.295056197951348,0.109671841085334,0.853425137122185,200,43,66,NA,NA,NA,8569,0,168.905,"ncurve"
"Baron","Seurat","Refined Louvain",200,"true","submitted","object",1,0.526476028997345,0.61422985760564,0.427849740745503,0.825183802077255,200,14,14,NA,NA,NA,8569,0,138.238,"ncurve"
