"package","version","repository","remote_repo","remote_sha"
"spatstat.random","3.3-2","RSPM",NA,NA
"spatstat.sparse","3.1-0","RSPM",NA,NA
"spatstat.univar","3.0-1","RSPM",NA,NA
"spatstat.utils","3.1-0","RSPM",NA,NA
"splines","4.4.1",NA,NA,NA
"stats4","4.4.1",NA,NA,NA
"stringi","1.8.4","RSPM",NA,NA
"stringr","1.5.1","RSPM",NA,NA
"survival","3.6-4","CRAN",NA,NA
"tensor","1.5","RSPM",NA,NA
"tibble","3.2.1","RSPM",NA,NA
"tidyr","1.3.1","RSPM",NA,NA
"tidyselect","1.2.1","RSPM",NA,NA
"tools","4.4.1",NA,NA,NA
"utf8","1.2.4","RSPM",NA,NA
"uwot","0.2.2","RSPM",NA,NA
"vctrs","0.6.5","RSPM",NA,NA
"viridisLite","0.4.2","RSPM",NA,NA
"xtable","1.8-4","RSPM",NA,NA
"zlibbioc","1.50.0","Bioconductor 3.19",NA,NA
"zoo","1.8-12","RSPM",NA,NA
