"metric","observed","historical","difference"
"ARI",0.988771468816226,0.988771468816226,1.11022302462516e-16
"FM",0.992545322773649,0.992545322773649,-1.11022302462516e-16
"Jaccard",0.985200431245712,0.985200431245712,0
"Purity",0.995934959349594,0.995934959349594,-4.44089209850063e-16
